Run    HMSP     SHMP
6258   4.9730   2.8100
6259   4.9730   2.8100
6260   4.9730   2.8100
6261   4.9730   2.8100
6262   4.9730   2.8100
6263   4.9730   2.8100
6264   4.9730   2.8100
6265   4.9730   2.8100
6266   4.9730   2.8100
6267   4.9730   2.8100
6270   4.9730   2.2460
6271   4.9730   2.2460
6272   4.9730   2.2460
6273   4.9730   2.2460
6274   4.9730   2.2460
6275   4.9730   2.2460
6276   4.9730   2.2460
6277   4.9730   2.2460
6278   4.9730   2.2460
6279   4.9730   2.2460
6280   4.9730   2.2460
6281   4.9730   2.2460
6282   4.9730   2.2460
6283   4.9730   2.2460
6284   4.9730   2.2460
6285   5.9830   3.2290
6286   5.9830   3.2290
6287   5.9830   3.2290
6288   5.9830   3.2290
6289   5.9830   3.2290
6290   5.9830   3.2290
6291   5.9830   3.2290
6292   5.9830   2.7670
6293   5.9830   2.7670
6294   5.9830   2.7670
6295   5.9830   2.7670
6296   5.9830   2.7670
6297   5.9830   2.7670
6298   5.9830   2.7670
6299   5.9830   2.7670
6300   5.9830   2.3040
6301   5.9830   2.3040
6302   5.9830   2.3040
6303   5.9830   2.3040
6304   5.9830   2.3040
6305   5.9830   2.3040
6306   5.9830   2.3040
6307   5.9830   2.3040
6308   5.9830   2.3040
6309   5.9830   3.2290
6310   5.9830   3.2290
6311   5.9830   3.2290
6312   5.9830   3.2290
6313   5.9830   3.2290
6314   5.9830   3.2290
6315   5.9830   2.7670
6316   5.9830   2.7670
6317   5.9830   2.7670
6318   5.9830   2.7670
6319   5.9830   2.7670
6320   5.9830   2.7670
6321   5.9830   2.7670
6322   5.9830   2.7670
6323   5.9830   2.7670
6324   5.9830   2.3040
6325   5.9830   2.3040
6326   5.9830   2.3040
6327   5.9830   2.3040
6328   5.9830   2.3040
6329   5.9830   2.3040
6330   5.9830   2.3040
6331   5.9830   2.3040
6332   5.9830   2.3040
6334   5.9830   1.8420
6335   5.9830   1.8420
6336   5.9830   1.8420
6337   5.9830   1.8420
6338   5.9830   1.8420
6339   5.9830   1.8420
6340   5.9830   1.8420
6341   5.9830   1.8420
6342   5.9830   1.8420
6343   5.9830   1.8420
6344   5.9830   1.8420
6345   5.9830   1.8420
6346   5.9830   1.8420
6347   5.9830   1.8420
6348   5.9830   1.8420
6349   5.9830   1.8420
6350   5.9830   1.8420
6351   5.9830   1.8420
6352   5.9830   1.8420
6353   5.9830   1.8420
6354   5.9830   1.8420
6355   5.9830   1.8420
6356   5.9830   1.8420
6357   5.9830   1.8420
6358   5.9830   1.8420
6359   6.3580   2.9660
6360   6.3580   2.9660
6361   6.3580   2.9660
6362   6.3580   2.9660
6363   6.3580   2.9660
6364   6.3580   2.9660
6365   6.3580   2.9660
6367   6.3580   2.5410
6368   6.3580   2.5410
6370   6.3580   2.5410
6371   6.3580   2.5410
6372   6.3580   2.5410
6373   6.3580   2.1160
6374   6.3580   2.1160
6375   6.3580   2.1160
6376   6.3580   2.1160
6377   6.3580   2.1160
6378   6.3580   1.6910
6379   6.3580   1.6910
6380   6.3580   1.6910
6381   6.3580   1.6910
6382   6.3580   1.6910
6383   6.3580   1.6910
6385   6.3580   2.9660
6386   6.3580   2.9660
6387   6.3580   2.9660
6388   6.3580   2.9660
6389   6.3580   2.9660
6390   6.3580   2.5410
6391   6.3580   2.5410
6392   6.3580   2.5410
6393   6.3580   2.5410
6394   6.3580   2.5410
6395   6.3580   2.5410
6396   6.3580   2.5410
6397   6.3580   2.9660
6398   6.3580   2.9660
6399   6.3580   2.1160
6400   6.3580   2.1160
6401   6.3580   2.1160
6402   6.3580   2.1160
6403   6.3580   2.1160
6404   6.3580   2.1160
6405   6.3580   2.1160
6406   6.3580   2.1160
6407   6.3580   1.6910
6408   6.3580   1.6910
6409   6.3580   1.6910
6410   6.3580   1.6910
6411   6.3580   1.6910
6412   6.3580   1.6910
6413   6.3580   1.6910
6414   6.3580   1.6910
6415   6.3580   1.6910
6416   6.3580   1.6910
