Run   SN  Mom Eff         Err
6537	140	3.729	0.956291	0.00198794
6538	141	3.729	0.954987	0.00691201
6539	142	3.195	0.950159	0.00757585
6541	143	3.195	0.958658	0.00209534
6542	144	2.662	0.95484	0.00301744
6543	145	2.662	0.961447	0.00230834
6544	146	2.662	0.95489	0.00659417
7635	147	3.15	0.958208	0.00371042
7636	148	3.15	0.956281	0.00365593
7637	149	3.15	0.952696	0.00664275
7638	150	3.15	0.965932	0.00900918
7639	151	3.15	0.948316	0.0190233
7640	152	2.699	0.954351	0.0157667
7641	153	2.699	0.957566	0.010071
7642	154	2.699	0.954767	0.00428912
7643	155	2.699	0.946825	0.00493058
7644	156	2.699	0.952429	0.00434457
7645	157	2.699	0.941786	0.00703089
7646	158	2.248	0.9335	0.00605087
7647	159	2.248	0.942298	0.00550736
7648	160	2.248	0.929009	0.00593036
7649	161	2.248	0.943853	0.00547711
7650	162	2.248	0.928916	0.0060585
7651	163	2.248	0.926245	0.00588467
7652	164	2.248	0.933145	0.00563314
7654	165	2.248	0.966092	0.00864137
7655	166	2.248	0.974705	0.00821103
7657	167	1.797	0.962226	0.0103518
7658	168	1.797	0.967969	0.00934384
7659	169	1.797	0.935377	0.028307
7660	170	1.797	0.941239	0.0177523
7661	171	1.797	0.91482	0.00864206
7662	172	1.797	0.903498	0.00944528
7663	173	1.797	0.907564	0.00894116
7666	174	1.797	0.942564	0.0112656
7667	175	1.797	0.945117	0.00943198
7668	176	1.797	0.914358	0.00914515
7669	177	1.797	0.912887	0.00905451
7670	178	1.797	0.908197	0.00947893
7707	180	2.928	0.932187	0.00582701
7708	181	2.928	0.924488	0.00589386
7709	182	2.928	0.925899	0.00566471
7710	183	2.928	0.920153	0.00830466
7711	184	2.928	0.957993	0.00837079
7712	185	2.928	0.967666	0.0103194
7713	186	2.341	0.905613	0.0221127
7714	187	2.341	0.968761	0.0131106
7715	188	2.341	0.971258	0.00769149
7716	189	2.341	0.919454	0.00849675
7717	190	2.341	0.915457	0.00841345
7718	191	2.341	0.914171	0.00800381
7719	192	2.341	0.933454	0.00786578
7720	193	2.341	0.912355	0.00872802
7721	194	2.341	0.926592	0.00772711
7722	195	2.341	0.929404	0.00804527
7760	196	4.452	0.958536	0.0031987
7762	197	4.452	0.971214	0.0115813
7768	198	3.214	0.959397	0.00413793
7769	199	3.214	0.951356	0.00548772
7770	200	3.214	0.958863	0.00625764
7771	201	3.214	0.9635	0.00564293
7772	202	3.214	0.949505	0.00928822
7773	203	2.718	0.944836	0.0106316
7774	204	2.718	0.95681	0.012738
7775	205	2.718	0.947782	0.00441741
7776	206	2.718	0.938462	0.00505868
7777	207	2.718	0.938793	0.00473674
7783	208	2.223	0.932124	0.00626427
7784	209	2.223	0.923199	0.00647206
7785	210	2.223	0.931438	0.00622821
7786	211	2.223	0.925625	0.00672023
7787	212	2.223	0.926784	0.00806199
7790	213	2.223	0.950788	0.0126289
7791	214	2.223	0.957143	0.0242076
7792	215	2.223	0.96495	0.0119872
7793	216	3.461	0.968723	0.0102614
7794	217	3.461	0.98573	0.0070838
7805	218	2.394	0.923338	0.00566025
7806	219	2.394	0.909168	0.00557174
7807	220	2.394	0.932304	0.00688528
7808	221	3.461	0.952357	0.00370037
7809	222	3.461	0.946771	0.00415927
7811	223	3.461	0.945632	0.00988178
7812	224	2.928	0.946385	0.00970641
7813	225	2.928	0.927223	0.00509156
7814	226	2.928	0.938017	0.00419024
7815	227	2.394	0.915596	0.00672737
7816	228	2.394	0.921132	0.00621413
7817	229	2.394	0.929778	0.00569098
7819	230	2.394	0.934151	0.01675
7820	231	2.394	0.950666	0.00909032
