run	 rate	 cur	charge	shmstr	hmstr	  hcal	  pcal	  aero	  TLT	   PRODUCT of eff
6071	490	45.52	35.885	0.99356	0.99592	0.99378	0.93227	0.97308	0.97412	0.8690
6073	478	28.13	107.32	0.99566	0.99508	0.99842	0.9446	0.97382	0.97808	0.8900
6080	100	40.4	123.54	0.99713	0.99681	0.99817	0.95407	0.97358	0.99389	0.9159
6081	478	28.1	12.39	0.99483	0.99562	1.0018	0.9352	0.97205	0.97845	0.8826
6087	158	39.31	149.21	0.99567	0.99404	0.99723	0.94941	0.9669	0.99233	0.8991
6088	476	16.35	36.121	0.99609	0.99623	0.99743	0.95548	0.97004	0.98059	0.8996
6089	481	16.53	37.321	0.99606	0.99549	0.99708	0.94954	0.97233	0.98098	0.8954
6090	479	16.46	36.034	0.99504	0.99577	0.99225	0.94378	0.97282	0.98051	0.8851
6091	485	9.63	31.473	0.99445	0.99709	0.9953	0.94101	0.97145	0.98096	0.8850
6093	477	9.48	28.822	0.99461	0.99692	0.99737	0.95747	0.96799	0.98275	0.9008
6094	467	9.28	3.668	0.99153	0.99758	0.99931	0.94909	0.96547	0.98055	0.8881
6095	479	9.51	3.426	0.99339	0.99868	0.983	0.96004	0.97986	0.97931	0.8984
6096	484	9.61	22.067	0.99372	0.99514	1.0014	0.95475	0.96357	0.98135	0.8940
6097	262	37.42	17.507	0.99295	0.99647	0.99527	0.95835	0.97514	0.98758	0.9089
6098	274	39.24	107.85	0.99293	0.99576	0.9967	0.93618	0.96497	0.98828	0.8798
6109	19	29.5	52.022	0.99451	0.99294	0.99592	0.95396	0.97469	0.99835	0.9129
6110	19	30.25	48.665	0.99759	0.99679	0.99348	0.95738	0.97341	0.99813	0.9189
6111	120	29.07	28.007	0.99772	0.99667	0.99727	0.95917	0.97208	0.99273	0.9179
6112	126	30.36	34.684	0.99766	0.994	0.99378	0.95726	0.97334	0.99177	0.9107
6114	120	28.97	11.525	0.99872	0.99273	0.99136	0.96353	0.96834	0.99268	0.9104
6115	238	31.48	53.02	0.99575	0.994	0.99374	0.9552	0.96947	0.98943	0.9012
6116	234	30.95	34.798	0.99587	0.99517	0.99444	0.96012	0.9675	0.98728	0.9038
6119	45	40.45	56.095	0.99677	0.99419	0.99501	0.96362	0.96956	0.99697	0.9184
6120	44	40.07	37.873	1	0.99431	0.99512	0.96546	0.97558	0.9964	0.9286
6124	473	33.78	79.879	0.99582	0.99456	0.99182	0.95616	0.96445	0.98131	0.8889
6125	481	34.33	73.749	0.99449	0.99343	0.99194	0.95694	0.96678	0.97998	0.8885
6127	80	40.48	35.728	0.99729	0.99458	0.99372	0.97195	0.96574	0.99581	0.9213
6128	79	39.83	80.889	0.99674	0.99592	0.99611	0.95796	0.96767	0.99621	0.9131
6129	134	37.3	18.688	0.99351	0.99838	0.9895	0.95804	0.95438	0.99502	0.8929
6130	144	40.12	22.304	0.99605	0.99079	0.99755	0.93549	0.9586	0.99386	0.8774
6132	117	32.55	43.334	0.99431	0.99716	0.98574	0.94644	0.94956	0.99506	0.8740
6133	44	12.06	8.095	0.99057	1	0.98289	0.92565	0.93447	0.99794	0.8404
6135	58	15.93	17.773	0.99258	0.99443	1.0063	0.95805	0.95342	0.99706	0.9046
6136	477	18.12	44.34	0.99395	0.99576	0.98712	0.95808	0.9544	0.98182	0.8771
6137	471	17.88	44.67	0.99397	0.99472	0.99064	0.95746	0.95563	0.98168	0.8798
6138	474	17.99	39.987	0.99573	0.99504	0.98913	0.94612	0.95307	0.98346	0.8691
6145	419	51.06	40.835	0.99658	0.99362	0.98504	0.95667	0.96131	0.9795	0.8787
