Run	Hms_ang	shms_ang rate	hms_P    shms_P	
7678   -20.24   13.810   1.41   4.3570   2.9280
7679   -20.24   13.810   4.43   4.3570   2.9280
7680   -20.24   13.810   4.32   4.3570   2.9280
7681   -20.24   13.810   4.24   4.3570   2.9280
7682   -20.24   13.810   4.26   4.3570   2.9280
7684   -20.24   13.810   2.34   4.3570   2.3410
7685   -20.24   13.810   2.30   4.3570   2.3410
7686   -20.24   13.810   2.30   4.3570   2.3410
7687   -20.24   13.810   2.30   4.3570   2.3410
7688   -20.24   13.810   2.31   4.3570   2.3410
7689   -20.24   13.810   2.34   4.3570   2.3410
7690   -20.24   13.810   2.32   4.3570   2.3410
7692   -20.24   13.810   2.31   4.3570   2.3410
7694   -20.24   13.810   1.05   4.3570   2.3410
7695   -20.24   13.810   1.05   4.3570   2.3410
7697   -20.24   13.810   1.06   4.3570   3.5140
7698   -20.24   13.810   1.05   4.3570   3.5140
7699   -20.24   13.810   4.16   4.3570   3.5140
7702   -20.24   13.810   4.18   4.3570   3.5140
7703   -20.24   13.810   4.17   4.3570   3.5140
7706   -20.24   13.810   2.36   4.3570   2.9280
7707   -20.24   13.810   2.34   4.3570   2.9280
7708   -20.24   13.810   2.36   4.3570   2.9280
7709   -20.24   13.810   2.35   4.3570   2.9280
7710   -20.24   13.810   2.35   4.3570   2.9280
7711   -20.24   13.810   1.03   4.3570   2.9280
7712   -20.24   13.810   1.04   4.3570   2.9280
7713   -20.24   13.810   1.04   4.3570   2.3410
7714   -20.24   13.810   1.03   4.3570   2.3410
7715   -20.24   13.810   1.04   4.3570   2.3410
7716   -20.24   13.810   1.22   4.3570   2.3410
7717   -20.24   13.810   1.22   4.3570   2.3410
7718   -20.24   13.810   1.21   4.3570   2.3410
7719   -20.24   13.810   1.21   4.3570   2.3410
7720   -20.24   13.810   1.22   4.3570   2.3410
7721   -20.24   13.810   1.23   4.3570   2.3410
7722   -20.24   13.810   1.24   4.3570   2.3410
7723   -18.51   17.750   3.38   5.2700   4.4520
7724   -18.51   17.750   6.16   5.2700   4.4520
7725   -18.51   17.750   0.90   5.2700   4.4520
7727   -18.51   17.750   0.91   5.2700   3.2140
7728   -18.51   17.750   0.89   5.2700   3.2140
7729   -18.51   17.750   3.29   5.2700   3.2140
7730   -18.51   17.750   3.36   5.2700   3.2140
7733   -18.51   17.750   3.26   5.2700   3.2140
7735   -18.51   17.750   6.06   5.2700   3.2140
7736   -18.51   17.750   6.16   5.2700   3.2140
7737   -18.51   17.750   6.06   5.2700   2.7180
7738   -18.51   17.750   6.13   5.2700   2.7180
7739   -18.51   17.750   5.97   5.2700   2.7180
7740   -18.51   17.750   6.08   5.2700   2.7180
7741   -18.51   17.750   3.29   5.2700   2.7180
7742   -18.51   17.750   2.93   5.2700   2.7180
7743   -18.51   17.750   3.36   5.2700   2.7180
7747   -18.51   17.750   0.87   5.2700   2.7180
7748   -18.51   17.750   0.88   5.2700   2.7180
7749   -18.51   17.750   0.89   5.2700   2.7180
7750   -18.51   17.750   0.88   5.2700   2.2230
7751   -18.51   17.750   0.88   5.2700   2.2230
7752   -18.51   17.750   0.89   5.2700   2.2230
7753   -18.51   17.750   3.34   5.2700   2.2230
7754   -18.51   17.750   3.35   5.2700   2.2230
7755   -18.51   17.750   3.28   5.2700   2.2230
7757   -18.51   17.750   4.53   5.2700   2.2230
7758   -18.51   17.750   4.52   5.2700   2.2230
7759   -18.51   17.750   4.52   5.2700   2.2230
7760   -18.51   17.750   6.12   5.2700   4.4520
7762   -18.51   17.750   0.89   5.2700   4.4520
7763   -18.51   17.750   3.33   5.2700   4.4520
7765   -18.51   17.750   1.32   5.2700   3.2140
7766   -18.51   17.750   1.30   5.2700   3.2140
7768   -18.51   17.750   2.12   5.2700   3.2140
7769   -18.51   17.750   2.08   5.2700   3.2140
7770   -18.51   17.750   2.11   5.2700   3.2140
7771   -18.51   17.750   2.10   5.2700   3.2140
7772   -18.51   17.750   0.85   5.2700   3.2140
7773   -18.51   17.750   0.87   5.2700   2.7180
7774   -18.51   17.750   0.84   5.2700   2.7180
7775   -18.51   17.750   2.76   5.2700   2.7180
7776   -18.51   17.750   2.75   5.2700   2.7180
7777   -18.51   17.750   2.76   5.2700   2.7180
7778   -18.51   17.750   1.30   5.2700   2.7180
7779   -18.51   17.750   1.31   5.2700   2.7180
7781   -18.51   17.750   1.25   5.2700   2.2230
7782   -18.51   17.750   1.24   5.2700   2.2230
7783   -18.51   17.750   2.04   5.2700   2.2230
7784   -18.51   17.750   2.04   5.2700   2.2230
7785   -18.51   17.750   2.04   5.2700   2.2230
7786   -18.51   17.750   2.04   5.2700   2.2230
7787   -18.51   17.750   2.05   5.2700   2.2230
7790   -18.51   17.750   0.88   5.2700   2.2230
7791   -18.51   17.750   0.84   5.2700   2.2230
7792   -18.51   17.750   0.87   5.2700   2.2230
7793   -19.10   15.940   0.98   4.8900   3.4610
7794   -19.10   15.940   0.98   4.8900   3.4610
7796   -19.10   15.940   6.54   4.8900   3.4610
7797   -19.10   15.940   6.52   4.8900   3.4610
7798   -19.10   15.940   6.60   4.8900   2.9280
7799   -19.10   15.940   6.58   4.8900   2.9280
7800   -19.10   15.940   3.26   4.8900   2.9280
7801   -19.10   15.940   0.97   4.8900   2.9280
7802   -19.10   15.940   0.97   4.8900   2.9280
7803   -19.10   15.940   0.98   4.8900   2.3940
7804   -19.10   15.940   0.95   4.8900   2.3940
7805   -19.10   15.940   3.92   4.8900   2.3940
7806   -19.10   15.940   3.94   4.8900   2.3940
7807   -19.10   15.940   3.89   4.8900   2.3940
7808   -19.10   15.940   3.52   4.8900   3.4610
7809   -19.10   15.940   3.52   4.8900   3.4610
7811   -19.10   15.940   0.98   4.8900   3.4610
7812   -19.10   15.940   0.98   4.8900   2.9280
7813   -19.10   15.940   3.22   4.8900   2.9280
7814   -19.10   15.940   3.26   4.8900   2.9280
7815   -19.10   15.940   1.90   4.8900   2.3940
7816   -19.10   15.940   1.90   4.8900   2.3940
7817   -19.10   15.940   1.90   4.8900   2.3940
7820   -19.10   15.940   0.99   4.8900   2.3940
7822   -23.22   22.250   0.36   5.7140   5.6500
7823   -23.22   22.250   0.45   5.7140   5.6500
7824   -23.22   22.250   0.10   5.7140   5.6500
7826   -21.93   23.450   0.61   5.7140   5.3600
7827   -21.93   23.450   0.62   5.7140   5.3600
7828   -21.93   23.450   0.13   5.7140   5.3600
7829   -20.71   24.710   0.20   5.7140   5.0700
7830   -20.71   24.710   0.94   5.7140   5.0700
