Run	Hms_ang	shms_ang rate	hms_P    shms_P	
6166   -14.24   17.038   20.0   5.9830   3.2290
6168   -14.24   17.038   4.80   5.9830   3.2290
6169   -14.24   17.038   5.06   5.9830   3.2290
6170   -14.24   17.038   16.6   5.9830   2.7670
6171   -14.24   17.038   16.7   5.9830   2.7670
6172   -14.24   17.038   4.97   5.9830   2.7670
6174   -14.24   17.038   20.2   5.9830   2.7670
6175   -14.24   17.038   19.8   5.9830   2.7670
6177   -14.24   17.038   10.8   5.9830   2.3040
6178   -14.24   17.038   10.7   5.9830   2.3040
6179   -14.24   17.038   10.0   5.9830   2.3040
6180   -14.24   17.038   10.0   5.9830   2.3040
6181   -14.24   17.038   5.04   5.9830   2.3040
6182   -14.24   17.038   5.01   5.9830   2.3040
6183   -14.24   17.038   4.99   5.9830   1.8420
6184   -14.24   17.038   5.02   5.9830   1.8420
6185   -14.24   17.038   6.04   5.9830   1.8420
6186   -14.24   17.038   5.96   5.9830   1.8420
6187   -14.24   17.038   6.00   5.9830   1.8420
6188   -14.24   17.038   6.20   5.9830   1.8420
6189   -14.24   17.038   6.15   5.9830   1.8420
6190   -14.24   17.038   6.22   5.9830   1.8420
6192   -17.25   14.164   9.20   4.9730   3.9360
6193   -17.25   14.164   8.97   4.9730   3.9360
6194   -17.25   14.164   13.3   4.9730   3.9360
6195   -17.25   14.164   13.7   4.9730   3.9360
6196   -17.25   14.164   2.18   4.9730   3.9360
6197   -17.25   14.164   2.22   4.9730   3.3730
6198   -17.25   14.164   8.83   4.9730   3.3730
6199   -17.25   14.164   8.81   4.9730   3.3730
6200   -17.25   14.164   8.40   4.9730   3.3730
6201   -17.25   14.164   8.45   4.9730   3.3730
6202   -17.25   14.164   4.59   4.9730   2.8100
6203   -17.25   14.164   4.58   4.9730   2.8100
6204   -17.25   14.164   4.56   4.9730   2.8100
6205   -17.25   14.164   4.41   4.9730   2.8100
6208   -17.25   14.164   4.46   4.9730   2.8100
6209   -17.25   14.164   4.43   4.9730   2.8100
6210   -17.25   14.164   4.39   4.9730   2.8100
6211   -17.25   14.164   2.18   4.9730   2.8100
6212   -17.25   14.164   2.14   4.9730   2.8100
6213   -17.25   14.164   2.21   4.9730   2.2460
6214   -17.25   14.164   2.22   4.9730   2.2460
6215   -17.25   14.164   2.36   4.9730   2.2460
6216   -17.25   14.164   2.36   4.9730   2.2460
6217   -17.25   14.164   2.36   4.9730   2.2460
6219   -17.25   14.164   2.35   4.9730   2.2460
6220   -17.25   14.164   2.36   4.9730   2.2460
6221   -17.25   14.164   2.55   4.9730   2.2460
6222   -17.25   14.164   2.41   4.9730   2.2460
6223   -17.25   14.164   2.57   4.9730   2.2460
